PROBLEMÁTICA,OBJETIVO MACRO,NIVEL,NOMBRE DE LA ESTRATEGIA,OBJETIVO DE LA ESTRATEGIA,INDICADOR  DE GESTIÓN SUGERIDO,INDICADOR DE IMPACTO SUGERIDO,ACCIONES,RESPONSABLES,NOTAS PARA LA IMPLEMENTACIÓN
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención social,,"Diseñar e implementar, con la participación de consumidores y grupos interesados, una estrategia de comunicación para la prevención de las conductas que ponen en riesgo a consumidores, familias y entornos.",# de estrategias de comunicación diseñadas e implementadas,,"* Realizar grupos focales para la construcción de una estrategia de comunicación participativa, con consumidores, organizaciones sociales, familias, propietarios de establecimientos que expenden alcohol.

*Construir las piezas publicitarias.

*Distribuir y ubicar las piezas comunicativas en lugares estratégicos de consumo de alcohol y SPA en el municipio.","Alcalde, *Secretaría de Integración o Desarrollo Social, Secretaría de Gobierno, Secretaría de Educación, Policía Nacional",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención social,,"Adelantar un proceso de formación a líderes sociales para la promoción de estrategias de prevención, reducción de riesgos y mitigación de daños en el consumo de SPA.","# de líderes formados en prevención, reducción de riesgos y mitigación de daños.",,"*Identificar organizaciones sociales que trabajen con consumidores en el municipio, así como líderes de movimientos juveniles no formales.

*Diseñar los contenidos para la formación, enfocados en la prevención desde la educación, la reducción de riesgos y la mitigación de daños del consumo de alcohol y sustancias psicoactivas.

*Adelantar las jornadas de formación, complementarias a la estrategia de comunicación diseñada.","Alcalde, Secretaría de Integración o Desarrollo Social., Secretaría de Educación",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención social,,Adelantar campañas de sensibilización a comerciantes sobre la importancia de promover comportamientos responsables en el consumo de alcohol.,"# de campañas implementadas.

# de propietarios y administradores de establecimientos sensibilizados",,"*Incluir en el Comité Municipal de Drogas a administradores y dueños de establecimientos comerciales que expenden alcohol en el municipio.

*Implementar mesas de diálogo y trabajo conjunto con administradores y dueños, para construir estrategias de reducción de riesgos en sus clientes, consumidores de alcohol, y promover buenas prácticas de funcionamiento de los establecimientos, así como construir acuerdos.","Alcalde, Secretaría de Integración o Desarrollo Social.",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención social,,"Promover actividades culturales alternativas en las zonas de alta concentración de consumo de SPA y alcohol, fomentando el sentido de pertenencia territorial. ",# de actividades implementadas,,"*Diseñar las estrategias para la recuperación y apropiación del espacio público por parte de la comunidad, instituciones, comerciantes y consumidores, a partir de los grupos focales elaborados para la estrategia de comunicación.

*Implementar las actividades diseñadas, de manera concertada con los actores clave.","*Secretaría de Integración o Desarrollo Social
Alcalde, *Secretaría de Gobierno, Personería municipal, Policía Nacional, Inspección de Policía",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención social,,Brindar acompañamiento psicosocial a personas consumidoras de SPA y alcohol.,"# de centros de escucha funcionando

# de docentes capacitados.

# de visitas a familias.",,"*Implementar centros de escucha para adolescentes y jóvenes consumidores de SPA y alcohol en el municipio, con el fin de brindar acompañamiento psicológico.

*Capacitar a docentes de las instituciones educativas para el acompañamiento a los estudiantes consumidores.

*Realizar visitas a familias donde se han identificado conflictividades producto del consumo de alcohol o SPA, para brindar acompañamiento psicosocial.","Alcalde, Secretaría de Integración o Desarrollo Social, Comisaría de Familia.",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Control,,"Adelantar registros policiales a los establecimientos de comercio que expenden alcohol, para identificar cumplimiento de requisitos de funcionamiento y cumplimiento de la normatividad vigente.",# de registros realizados mensualmente,,"*Programar visitas mensuales a los establecimientos de comercio que expenden alcohol, con el fin de verificar el cumplimiento de la normatividad vigente para su funcionamiento, así como evitar el expendio de sustancias ilícitas en su interior.","Alcalde, Secretaría de Gobierno, Policía Nacional, Personería municipal, Inspección de Policía",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Prevención situacional,,"Incrementar el patrullaje policial en aquellas zonas donde se identifiquen los altos niveles de consumo de alcohol y SPA, con enfoque de prevención de violencias y protección a los ciudadanos consumidores y sus entornos.",# de horas dedicadas al patrullaje en zonas y horas identificadas.,,"* Capacitación a personal policial sobre la estrategia de comunicación definida

* Incremento del patrullaje en las zonas determinadas como prioritarias, en los horarios y días de la semana más críticos.

* Contar con presencia institucional permanente en los sitios de alto consumo de alcohol y SPA en el municipio, mediante gestores de convivencia, policía nacional, personería, entre otras, que permitan prevenir y atender alteraciones a la seguridad y convivencia producto del consumo.

*Adecuar un espacio para el centro de traslado por protección, conforme a lo establecido en el decreto 1284 de 2017.","Alcalde, Secretaría de Gobierno., Policía Nacional",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Control,,"Incrementar la inspección de vehículos y registro de conductores de motocicletas, bicicletas y vehículos en las horas y lugares de prevalencia del consumo de alcohol y SPA en el municipio, para controlar la conducción bajo efectos de estas sustancias.",# de inspecciones realizadas mensualmente,,"* Definir los lugares para los puestos de control policial, y realizar las inspecciones en horarios y horas del día definidos como críticos, con el fin de controlar a quienes conducen en estado alterado de conciencia.","Alcalde, Secretaría de Gobierno, Policía Nacional ",
Consumo de SPA,"Prevenir, reducir los riesgos y mitigar los daños asociados al consumo de sustancias psicoactivas, incluido el alcohol",Sanción,,"Implementar como medida correctiva a quienes infrinjan el código de policía, cursos de concientización para la reducción de riesgos y mitigación de daños asociados al consumo de alcohol.",# de capacitaciones realizadas como medida correctiva pedagógica.,,"*Construir los contenidos de los cursos pedagógicos, con enfoque de reducción de riesgos y mitigación de daños.

*Adecuar el lugar donde se realizarán los cursos.","*Secretaría de Gobierno, Alcalde, Secretaría de Educación. *Inspección de Policía, Policía Nacional",
Delitos sexuales,Identificar de manera temprana las causas que promueven la violencia sexual para poder hacerle frente y promover el entendimiento de los derechos sexuales.,Prevención,Fortalecimiento de capacidades locales ,Fortalecer las capacidades de las autoridades locales para gestionar mecanismos que acerquen a las instituciones con funciones en la materia y las víctimas de delitos sexuales y comunidad en general.  ,"Número de funcionarios formados.

Número de talleres de formación realizados.

% de recursos destinados para los programas de protección","% de reducción de casos de delitos sexuales

Número de investigaciones cerradas sobre delitos sexuales 

%  de aumento en la denuncia

% de recursos asignados para fortalecer organizaciones sociales de base que trabajen sobre prevención de violencia sexual ","Desarrollar en coordinación con las autoridades responsables en el municipio,  capacitación a los funcionarios que reciben información del hecho delictivo en todas las rutas existentes en atención y prevención.

Sensibilizar a servidores públicos sobre la Ley 1719 de 2014 con el propósito de impulsar la realización de los Comités Técnicos–Jurídicos para la investigación de los hechos relacionados con delitos sexuales.

Formar a las autoridades locales con responsabilidad en el tema, sobre garantías de no repetición e incluir esos preceptos en los programas de protección y atención a las mujeres víctimas, y otros sectores poblacionales en riesgo.

Trabajar articuladamente con las entes judiciales, la definición de técnicas y estrategias de investigación sobre violencias basadas en el género.

Teniendo en cuenta la multiplicidad de rutas por medio de las cuales las víctimas pueden poner el hecho delictivo en conocimiento, 
trabajar articuladamente con los funcionarios del Centro de Atención Integral para Víctimas de Abuso Sexual (CAIVAS), el Centro de Atención a Víctimas Violencia Intrafamiliar (CAVIF), del Centro de Atención Penal Integral para Víctimas (CAPIV), la Unidad de Reacción Inmediata (URI), Comisarías de Familia, el Comando de Acción Inmediata (CAI), Casas de Justicia y Centros de Salud,
para formar a quienes reciben la información y evaluar su gestión.

Destinar recursos a los programas de protección para las mujeres víctimas y sectores poblacionales en riesgo del municipio.

Trabajar articuladamente con los entes judiciales para fortalecer los mecanismos de denuncia en el municipio.

Evaluar y mejorar estrategia de articulación de los comités interinstitucionales del municipio.

Evaluar modelos de atención a víctimas de violencia de género



","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Fiscalía, Comisaría","Prevenir llos delitos sexuales requiere de un aumento en  los esfuerzos para abordar la  violencia sexual, especiamente en poblaciones vulnerables, y en particular en las zonas rurales. Para que las estrategias tengan los resulatdos esperados es necesario comprender elfenomeno,  recoger datos confiables  y asegurar la implementación de informes adecuados, y de medidas policiales y jurídicas. 
"
Delitos sexuales,Identificar de manera temprana las causas que promueven la violencia sexual para poder hacerle frente y promover el entendimiento de los derechos sexuales.,Prevención,Fortalecimiento a organizaciones de base,"Fortalecer organizaciones de base que trabajen sobre prevención de violencia sexual.
",Número de organizaciones sociales fortalecidas,,"Desarrollar espacios de diálogo con estas organizaciones para  permitirles participar en el diseño e implementación de la política pública para la prevención de la violencia sexual.

Realizar talleres de formación con las organizaciones sociales y comunidad en general para identificar sus derechos,  riesgos,  rutas de acceso y acompañamiento.

","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Fiscalía, Comisaría",
Delitos sexuales,Identificar de manera temprana las causas que promueven la violencia sexual para poder hacerle frente y promover el entendimiento de los derechos sexuales.,Prevención,Difusión de programas de prevención de violencia sexuales,"Difundir los programas que desde el nivel nacional, regional y local se están promoviendo para prevenir la violencia sexual. Hacer especial énfasis por los promovidos por la Consejería Presidencial para la Equidad de la Mujer y e ICBF que tienen equipos en los territorios.",Número de campañas realizadas que difundan los programas ,,"Propiciar escenarios de socialización con todos los miembros de la comunidad, teniendo en cuenta las especificidades del municipio, para que la educación sexual pueda  tener un impacto real en la prevención de nuevos agresores y se logre comprender el fenómeno de violencia sexual a nivel local.

Llevar a cabo formaciones en sexualidad y género a miembros de la Fuerza Pública

Fortalecer  garantías de no repetición a través de programas de protección y atención a las mujeres víctimas, y otros sectores poblacionales en riesgo.","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Fiscalía, Comisaría",
Delitos sexuales,Identificar de manera temprana las causas que promueven la violencia sexual para poder hacerle frente y promover el entendimiento de los derechos sexuales.,Prevención,Campañas de difusión sobre educación sexual, Elaborar campañas de educación sexual con familia a través de trabajo interinstitucional entre el ICBF y el Ministerio de Educación,Número de mensajes divulgados sobre educación sexual en el municipio,,Articular con el ICBF y la secretaria de educación del municipio mensajes por diferentes medios de comunicación para mejorar la comprensión en el nivel relacional y comunitario de la sexualidad y su protección. ,"Alcalde, Secretaria de Gobierno, Secretaria de Educación, Personería, Defensoría, Fiscalía, Comisaría, ICBF",
Desplazamiento forzado,"Implementar una estrategia de fortalecimiento de la capacidad institucional, optimización de recursos económicos y corresponsabilidad con los entes nacionales, departamentales y locales para garantizar los derechos de las victimas de desplazamiento forzado en el municipio.",Prevención,Fortalecimiento de capacidades locales ,Impulsar junto con la personería y otras entidades responsables  una estrategia para fortalecer  las capacidades institucionales  que permiten la aplicación de un enfoque de derechos para la prevención y atención del desplazamiento en el municipio.,Número de escenarios de formación desarrollados con autoridades responsables en el tema,"Número de personas en situación de desplazamiento  atendidas en el municipio

% de recursos asignados para fortalecer la atención y reparación de las personas en situación de desplazamiento.

% de recursos destinados para la Unidad Móvil de Atención y Orientación a as víctimas","Solicitar a la Dirección General de la Unidad para la Atención y Reparación Integral a las Víctimas, a través del Grupo de Centros Regionales, el mejoramiento, adecuación y o creación de los Centros Regionales de Atención en su municipio

Operatividad las rutas integrales de asistencia y reparación individual y reparación colectiva, así como las de prevención, protección y verdad; identificando por un lado los actores involucrados, los componentes de cada ruta y el alcance de los mismos en el cumplimiento, según las condiciones del territorio

Capacitar a los funcionarios responsables de la atención a las víctimas de desplazamiento para que desarrollen una mayor sensibilidad y empatía con la temática y la población.


Realizar jornadas periódicas de actualización, dirigidas a los diferentes actores con responsabilidad en el tema e interesados en el municipio.
","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Unidad de Víctimas","El problema del desplazamiento  no debe seguir siendo abordado desde una  perspectiva  asistencialista. Para desarrollar estas estrategias se hace necesario  agilizar el sistema y mejorar la coordinación institucional. Es importante que si ud presenta este fenómeno asigne recursos, se forme y sensibilice a sus funcionarios, que en ocasiones mantienen una percepción negativa hacia los desplazados. "
Desplazamiento forzado,"Implementar una estrategia de fortalecimiento de la capacidad institucional, optimización de recursos económicos y corresponsabilidad con los entes nacionales, departamentales y locales para garantizar los derechos de las victimas de desplazamiento forzado en el municipio.",Prevención,Destinación de recursos a población en situación de riesgo de desplazamiento,Incorporar recursos específicos para brindar una adecuada atención a la población en riesgo y en situación de desplazamiento.,Recursos destinados para mejorar la atención a la población en riesgo y en situación de desplazamiento,,"Conocer las fuentes de financiación con las que cuenta el alcalde para la política de financiación territorial: recursos propios disponibles, recursos departamentales, transferencias del gobierno (sistema general de participaciones y sistema general de regalías) y otros (empréstitos). 

Priorizar y orientar el presupuesto de tal manera que permita una transferencia de recursos económicos para la atención y reparación a víctimas. 

Apelar ante las entidades de control fiscal en los territorios para combatir la corrupción administrativa y proteger los recursos limitados que existen para la implementación de la política de víctimas. 

Diseñar proyectos con base en las necesidades identificadas en su territorio en materia de víctimas, con el fin de ponerlos a consideración del Fondo Colombia en Paz, cooperación internacional y sector privado. 
","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Unidad de Víctimas",
Desplazamiento forzado,"Implementar una estrategia de fortalecimiento de la capacidad institucional, optimización de recursos económicos y corresponsabilidad con los entes nacionales, departamentales y locales para garantizar los derechos de las victimas de desplazamiento forzado en el municipio.",Prevención,Socialización de políticas,Socializar el contenido y alcance de la política de victimas  de desplazamiento en el municipio.,Número de encuentros de socialización desarrollados,,"Gestionar la intervención de la Unidad Móvil de Atención y Orientación a las Víctimas del conflicto armado en los territorios para asesorar y orientar sobre los derechos, las rutas y los procedimientos para ser beneficiario de la Ley de Víctimas y Restitución de Tierras.  

Solicitar capacitación para el personal en todas las rutas de acción en materia de atención y reparación de víctimas, que sean pertinentes para el municipio. 

Difundir el material disponible que ha sido desarrollado por diferentes entidades del orden nacional y agencias de cooperación, para el conocimiento de los derechos de las víctimas","Alcalde, Secretaria de Gobierno, Personería, Defensoría, Unidad de Víctimas",
Espacio público,Recuperar el espacio público para el disfrute de los habitantes del municipio,Prevención situacional,,Reducir la percepción de inseguridad en el espacio público y las oportunidades de comisión de delitos,"# de espacios públicos mejorados y recuperados.

# de alianzas generadas para la recuperación y mantenimiento de espacios públicos.",,"*Mejorar la iluminación de espacios públicos prioritarios.

*Mejorar la señalización en parques, calles y avenidas.

*Adelantar actividades de recuperación, limpieza de parques y espacios públicos de recreación.

*Instalar cámaras de video vigilancia en espacio público.

* Instalar recipientes adecuados para el depósito de residuos sólidos en los espacios públicos.

*Generar alianzas con el sector privado para la recuperación de espacios públicos.","Alcalde, Secretaría de Gobierno, Secretaría de Infraestructura., Secretaría de Cultura.",
Espacio público,Recuperar el espacio público para el disfrute de los habitantes del municipio,Prevención social,,Implementar actividades de apropiación del espacio público por parte de las comunidades locales.,"# de actividades realizadas

# de campañas comunicativas adelantadas.",,"*Diseñar e implementar actividades culturales, deportivas y recreativas en espacios públicos del municipio, de manera periódica, con participación de la comunidad y el sector privado del municipio.

*Implementar campañas comunicativas de sensibilización acerca de la importancia del mantenimiento de los espacios públicos municipales.","Alcalde, Secretaría de Integración o Desarrollo Social. Secretaría de Educación, Policía Nacional",
Espacio público,Recuperar el espacio público para el disfrute de los habitantes del municipio,Prevención situacional,,Generar alternativas para los vendedores informales en el municipio.,"#de espacios adecuados para las formalización de las ventas.

# de alternativas de negocio generadas.

# de alianzas con el sector privado generadas.",,"*Ofrecer espacios adecuados y ferias para el uso ordenado del espacio público para las ventas informales.

*Diseñar e implementar estrategias de apoyo a proyectos productivos, emprendimiento y asociatividad de vendedores informales.

*Ofrecer alternativas de negocio a vendedores informales para la recuperación del espacio público.

*Generar alianzas con el sector privado para la vinculación de vendedores informales a su cadena de valor.","Alcalde, Secretaría de Gobierno, Personería municipal, Secretaría de Integración o Desarrollo Social",
Extorsión,Reducir la extorsión en el municipio,Sanción y judicialización,,Promover la denuncia ,# de campañas comunicativas implementadas,,"*Destinar recursos para la estrategia comunicativa de la Policía Nacional ""Yo no pago, yo denuncio"".

* Facilitar los canales existentes para la denuncia anónima del delito de extorsión,  y promover la aplicación ""A Denunciar"".

* Invitar a comerciantes y empresarios presentes en el municipio a los Consejos municipales de Seguridad y Convivencia, con el fin de obtener información y hacer seguimiento a la problemática.

*Prestar asesoría a los empresarios y comerciantes del municipio, a través de funcionarios del GAULA de la Policía Nacional, para la implementación de acciones preventivas y de control de la extorsión.","Alcalde, Secretaría de Gobierno, Policía Nacional",
Extorsión,Reducir la extorsión en el municipio,Sanción y judicialización,,Fortalecer las capacidades de inteligencia e investigación criminal con las que cuenta el municipio.,"# de recursos optimizados o adquiridos para el mejoramiento de los procesos técnicos.

# de estrategias construidas para la desarticulación de bandas dedicadas al hurto.",,"*Identificar las necesidades que tiene el municipio en materia de investigación criminal e inteligencia para la desarticulación de bandas delincuenciales y la judicialización de sus comportamientos, en coordinación con la Policía Nacional y la seccional de Fiscalía.

*Invertir recursos necesarios para superar las brechas existentes.

*Construir una estrategia conjunta con la Policía Nacional y la Fiscalía para optimizar los servicios de inteligencia e investigación criminal correspondientes a las necesidades del municipio, desde el Consejo municipal de Seguridad y Convivencia. Así mismo, gestionar desde este escenario la presencia de las Unidades Básicas y las Seccionales de Policía y Fiscalía.

*Coordinar con municipios circunvecinos y la gobernación del departamento, estrategias para la desarticulación de bandas delincuenciales dedicadas a la extorsión en el municipio.","Alcalde, Secretaría de Gobierno, Policía Nacional, Seccional de Fiscalía, Unidades Básicas y Seccionales de Policía",
Extorsión,Reducir la extorsión en el municipio,Prevención,,Construir una estrategia integral para la prevención de la extorsión.,"# de estrategias diseñadas e implementadas

# de comités adelantados.",,"* Constituir, en el marco del Consejo municipal de Seguridad y Convivencia, un grupo de trabajo para el diseño de estrategias de prevención de la extorsión, con participación de la alcaldía municipal, la personería, la Policía Nacional, seccional de Fiscalía, GAULA, Cámara de Comercio y otros que sean pertinentes.

*Diseñar e implementar una estrategia interinstitucional para la prevención y atención oportuna del delito de extorsión.

*Construir indicadores de seguimiento a la estrategia","Alcalde,  Secretaría de Gobierno, Policía Nacional, Personería municipal",
Homicidio,Prevenir y reducir los homicidios en el municipio,Prevención situacional,,Adelantar procesos de desarme voluntario de la ciudadanía,# de jornadas de desarme adelantadas,,"*Diseñar una campaña comunicativa para promover desarme voluntario entre la ciudadanía.

*Generar procesos de negociación entre pandillas o grupos juveniles, para conseguir el desarme voluntario y acuerdos de paz.

*Construir un plan de estímulos para el desarme.

*Gestionar alianzas con el sector educativo y privado municipal y departamental, con el fin de obtener cupos y elementos que permitan estimular el desarme ciudadano.

* Articular la estrategia con el ""Plan Desarme"" de la Policía Nacional

*Realizar jornadas masivas de desarme, en lugares críticos del municipio."," Acalde, Secretaría de Gobierno, Secretaria de educación , Policía Nacional",
